blue_freq_rep_1,blue_real_rep_1,blue_imaginary_rep_1,blue_freq_rep_2,blue_real_rep_2,blue_imaginary_rep_2
99998,16528,30368,99998,15792,28878
61896,26711,34722,61896,24482,32974
38312,35691,39693,38312,35550,38959
23714,45014,48279,23714,44798,47654
14678,56414,62394,14678,57211,62550
9085.2,72373,80275,9085.2,72372,79611
5623.3,1.0085e+05,97814,5623.3,1.021e+05,98559
3480.6,1.3113e+05,1.0827e+05,3480.6,1.2814e+05,1.0936e+05
2154.4,1.5348e+05,1.2828e+05,2154.4,1.4996e+05,1.3078e+05
6463.1,99104,96295,6463.1,94651,94892
10772,68999,75907,10772,65986,73485
15080,56812,62065,15080,54801,60196
19389,50487,53887,19389,48625,52159
1333.5,1.6844e+05,1.7201e+05,1333.5,1.6755e+05,1.7399e+05
4000.5,1.2974e+05,1.0604e+05,4000.5,1.2711e+05,1.0764e+05
6667.5,96026,95261,6667.5,93959,94942
9334.5,76112,81618,9334.5,74060,80917
12002,64314,71060,12002,63116,69820
825.39,1.8577e+05,2.4202e+05,825.39,1.8704e+05,2.4615e+05
2476.2,1.4278e+05,1.2057e+05,2476.2,1.427e+05,1.222e+05
4127,1.2205e+05,1.0521e+05,4127,1.2103e+05,1.0531e+05
5777.7,1.0012e+05,97507,5777.7,1.0261e+05,97363
7428.5,83499,89060,7428.5,83798,89623
510.9,2.2071e+05,3.5545e+05,510.9,2.1963e+05,3.634e+05
1532.7,1.5836e+05,1.5651e+05,1532.7,1.5933e+05,1.589e+05
2554.5,1.4077e+05,1.1835e+05,2554.5,1.4132e+05,1.2122e+05
3576.3,1.2536e+05,1.0791e+05,3576.3,1.2945e+05,1.0875e+05
4598.1,1.1562e+05,1.0295e+05,4598.1,1.1553e+05,1.0295e+05
316.22,2.7216e+05,5.2884e+05,316.22,2.7643e+05,5.3733e+05
948.67,1.7973e+05,2.1985e+05,948.67,1.822e+05,2.2135e+05
1581.1,1.581e+05,1.5297e+05,1581.1,1.579e+05,1.5547e+05
2213.6,1.4811e+05,1.2733e+05,2213.6,1.4752e+05,1.281e+05
2846,1.3919e+05,1.1572e+05,2846,1.384e+05,1.1422e+05
195.73,3.8507e+05,7.9045e+05,195.73,3.3531e+05,8.2518e+05
587.19,2.0778e+05,3.1834e+05,587.19,2.2185e+05,3.2686e+05
978.65,1.8003e+05,2.1553e+05,978.65,1.8779e+05,2.1798e+05
1370.1,1.6566e+05,1.6836e+05,1370.1,1.7013e+05,1.7141e+05
1761.6,1.5754e+05,1.4379e+05,1761.6,1.6008e+05,1.4663e+05
2544.5,1.4772e+05,1.2101e+05,2544.5,1.4791e+05,1.2257e+05
3718.9,1.3231e+05,1.0767e+05,3718.9,1.34e+05,1.0971e+05
4893.3,1.1754e+05,1.0303e+05,4893.3,1.1675e+05,1.0497e+05
6459.1,97896,96247,6459.1,99098,96868
8024.9,84589,88380,8024.9,84695,89547
9982.3,72451,79141,9982.3,72047,79896
11940,64439,71208,11940,64566,71091
14288,58452,63903,14288,58620,63636
17029,53087,57573,17029,53219,57955
19377,49931,54070,19377,49990,53839
