blue_freq_rep_1,blue_real_rep_1,blue_imaginary_rep_1,blue_freq_rep_2,blue_real_rep_2,blue_imaginary_rep_2
99998,8732.9,4047.6,99998,9124,9124
43940,10905,5741.8,43940,11428,11428
19307,13960,8189.5,19307,14898,14898
14741,15517,9473.1,14741,16479,16479
13756,15729,9787.9,13756,16814,16814
12089,16428,10357,12089,17562,17562
11465,16899,10533,11465,17952,17952
10143,17501,11182,10143,18665,18665
8483.2,18562,12004,8483.2,19559,19559
8475.9,18651,12102,8475.9,19849,19849
8189.5,18930,12257,8189.5,20132,20132
7086.4,19881,13019,7086.4,21168,21168
6477.1,20770,13481,6477.1,22070,22070
6044.3,21211,13868,6044.3,22428,22428
5696.9,21560,14351,5696.9,22892,22892
5311.7,22238,14649,5311.7,23454,23454
5037.8,22800,14998,5037.8,24226,24226
4913.7,22887,15198,4913.7,24335,24335
4585.3,23415,15642,4585.3,24772,24772
4456.9,23711,15825,4456.9,25040,25040
3727.5,24855,16954,3727.5,26566,26566
3724.3,25324,16939,3724.3,26774,26774
3598.4,25787,17233,3598.4,27367,27367
3473.7,25920,17617,3473.7,27499,27499
3113.7,27114,18319,3113.7,28564,28564
2846,28226,18992,2846,29627,29627
2655.8,28982,19592,2655.8,30309,30309
2640,28748,19533,2640,30380,30380
2503.2,29438,20003,2503.2,30954,30954
2333.9,30400,20593,2333.9,31853,31853
2213.6,31046,21023,2213.6,32509,32509
2159,31325,21021,2159,33023,33023
2014.8,32012,21735,2014.8,33541,33541
1958.3,32508,22131,1958.3,34016,34016
1806.3,33196,22700,1806.3,34979,34979
1637.9,34886,23582,1637.9,36218,36218
1636.4,34655,23680,1636.4,36354,36354
1581.1,35094,24146,1581.1,36761,36761
1526.3,35441,24243,1526.3,37222,37222
1368.1,37252,25423,1368.1,38817,38817
1250.5,38320,26309,1250.5,40001,40001
1167,39581,27127,1167,41442,41442
1160,39260,27223,1160,41174,41174
1099.9,40487,27775,1099.9,42093,42093
1025.5,41524,28523,1025.5,43335,43335
972.65,42097,29039,972.65,43958,43958
948.67,42656,29478,948.67,44495,44495
885.27,43899,30307,885.27,45481,45481
860.51,44384,30748,860.51,46254,46254
793.7,45438,31417,793.7,47324,47324
719.68,47560,32842,719.68,49352,49352
719.05,47470,32825,719.05,49548,49548
694.75,47910,33266,694.75,49820,49820
670.66,48650,33837,670.66,50521,50521
601.18,51064,35482,601.18,52904,52904
549.48,52279,36261,549.48,54332,54332
512.76,53948,37660,512.76,56005,56005
509.7,53901,37779,509.7,55969,55969
483.3,55505,38663,483.3,57714,57714
450.61,56959,39749,450.61,58910,58910
427.38,57693,40242,427.38,59903,59903
416.85,58153,40866,416.85,60186,60186
389,60162,42058,389,62498,62498
378.1,60723,42709,378.1,62946,62946
348.74,62507,44004,348.74,64834,64834
316.22,64813,45908,316.22,67047,67047
315.95,65323,45790,315.95,67487,67487
305.27,65789,46270,305.27,68224,68224
294.69,67249,47458,294.69,70317,70317
264.15,70092,49259,264.15,72201,72201
241.44,72671,51420,241.44,74728,74728
225.3,74105,51869,225.3,76058,76058
223.97,75104,53276,223.97,77156,77156
212.36,76065,53423,212.36,78650,78650
197.99,77769,54591,197.99,80175,80175
187.78,80203,56186,187.78,82252,82252
183.16,80318,56023,183.16,83014,83014
170.92,83317,58642,170.92,85815,85815
166.13,83305,58049,166.13,85828,85828
153.24,87055,61124,153.24,89750,89750
138.95,89595,63202,138.95,92915,92915
138.82,89327,62637,138.82,91229,91229
134.13,91231,63635,134.13,94163,94163
129.49,92628,64798,129.49,95391,95391
116.06,96201,66682,116.06,98307,98307
106.09,1.0092e+05,69409,106.09,1.0245e+05,1.0245e+05
99.001,1.0379e+05,71502,99.001,1.0477e+05,1.0477e+05
98.409,1.033e+05,72724,98.409,1.0512e+05,1.0512e+05
93.306,1.0409e+05,71379,93.306,1.0636e+05,1.0636e+05
87.001,1.0831e+05,75197,87.001,1.1015e+05,1.1015e+05
82.514,1.109e+05,77101,82.514,1.1286e+05,1.1286e+05
80.479,1.107e+05,76117,80.479,1.1343e+05,1.1343e+05
75.1,1.1333e+05,78127,75.1,1.1572e+05,1.1572e+05
73.001,1.1507e+05,80690,73.001,1.1826e+05,1.1826e+05
67.333,1.1692e+05,85176,67.333,1.1849e+05,1.1849e+05
61.054,1.1281e+05,94358,61.054,1.2421e+05,1.2421e+05
61,1.2392e+05,85864,61,1.2606e+05,1.2606e+05
58.939,1.3974e+05,77144,58.939,1.3867e+05,1.3867e+05
56.894,1.2936e+05,86915,56.894,1.2683e+05,1.2683e+05
51,1.3134e+05,92067,51,1.3477e+05,1.3477e+05
46.615,1.3388e+05,93113,46.615,1.3786e+05,1.3786e+05
43.239,1.3862e+05,96717,43.239,1.4064e+05,1.4064e+05
41,1.4147e+05,1.0011e+05,41,1.4559e+05,1.4559e+05
36.256,1.5032e+05,1.0381e+05,36.256,1.5048e+05,1.5048e+05
35.363,1.5163e+05,1.0385e+05,35.363,1.5329e+05,1.5329e+05
33,1.5453e+05,1.0952e+05,33,1.5792e+05,1.5792e+05
29.585,1.5869e+05,1.1273e+05,29.585,1.6126e+05,1.6126e+05
26.826,1.6698e+05,1.1678e+05,26.826,1.6982e+05,1.6982e+05
25.897,1.6909e+05,1.2233e+05,25.897,1.7255e+05,1.7255e+05
25,1.6831e+05,1.2121e+05,25,1.7338e+05,1.7338e+05
20.482,1.8183e+05,1.3079e+05,20.482,1.8359e+05,1.8359e+05
19,1.8949e+05,1.3429e+05,19,1.8828e+05,1.8828e+05
15.93,1.9643e+05,1.4767e+05,15.93,1.9902e+05,1.9902e+05
15.538,1.9971e+05,1.5082e+05,15.538,2.0619e+05,2.0619e+05
13,2.1753e+05,1.5929e+05,13,2.2089e+05,2.2089e+05
11.788,2.2818e+05,1.9203e+05,11.788,2.2654e+05,2.2654e+05
11.379,2.202e+05,1.717e+05,11.379,2.2502e+05,2.2502e+05
9.0001,2.3617e+05,1.9186e+05,9.0001,2.5034e+05,2.5034e+05
7.0001,2.643e+05,2.2341e+05,7.0001,2.6257e+05,2.6257e+05
6.8272,2.6982e+05,2.1742e+05,6.8272,2.7022e+05,2.7022e+05
5.1794,3.1674e+05,2.611e+05,5.1794,3.1545e+05,3.1545e+05
5,3.0875e+05,2.6266e+05,5,3.1351e+05,3.1351e+05
3,3.4266e+05,3.4046e+05,3,3.6592e+05,3.6592e+05
2.2757,3.962e+05,4.1566e+05,2.2757,4.252e+05,4.252e+05
1,5.0669e+05,6.5148e+05,1,4.8366e+05,4.8366e+05
