blue_freq_rep_1,blue_real_rep_1,blue_imaginary_rep_1,blue_freq_rep_2,blue_real_rep_2,blue_imaginary_rep_2
99998,5146.9,15981,99998,5136.2,16329
61896,10043,23319,61896,9363.5,22974
38312,15935,31123,38312,16051,31797
23714,24169,40747,23714,24809,41877
14678,35251,53376,14678,35425,54223
9085.2,47097,70301,9085.2,48517,71476
5623.3,63399,91191,5623.3,65798,92661
3480.6,83262,1.1772e+05,3480.6,85297,1.2017e+05
2154.4,1.1446e+05,1.6563e+05,2154.4,1.1258e+05,1.5967e+05
6463.1,58932,82075,6463.1,60121,86126
10772,42998,62910,10772,42950,65325
15080,33856,52667,15080,35002,53258
19389,28412,45351,19389,28575,46372
1333.5,1.3576e+05,2.2342e+05,1333.5,1.3651e+05,2.1884e+05
4000.5,76928,1.0866e+05,4000.5,80596,1.1116e+05
6667.5,58100,82737,6667.5,59619,83609
9334.5,46719,68726,9334.5,48516,69234
12002,40173,59169,12002,41218,60415
825.39,1.6941e+05,3.067e+05,825.39,1.6692e+05,3.0305e+05
2476.2,1.0061e+05,1.458e+05,2476.2,99026,1.4867e+05
4127,77109,1.081e+05,4127,75734,1.0914e+05
5777.7,62488,88078,5777.7,63063,89462
7428.5,53804,78731,7428.5,55834,77703
510.9,2.2049e+05,4.1404e+05,510.9,2.2424e+05,3.9646e+05
1532.7,1.2639e+05,1.974e+05,1532.7,1.3106e+05,1.9745e+05
2554.5,97720,1.422e+05,2554.5,1.0128e+05,1.4326e+05
3576.3,83205,1.159e+05,3576.3,85378,1.1713e+05
4598.1,71828,1.0017e+05,4598.1,73196,1.007e+05
316.22,3.4072e+05,6.1649e+05,316.22,3.1153e+05,6.5732e+05
948.67,1.7484e+05,2.8319e+05,948.67,1.6273e+05,2.6335e+05
1581.1,1.309e+05,1.9794e+05,1581.1,1.3022e+05,1.9124e+05
2213.6,1.098e+05,1.6269e+05,2213.6,1.0797e+05,1.5481e+05
2846,93251,1.392e+05,2846,95862,1.3562e+05
195.73,4.3419e+05,6.8469e+05,195.73,3.221e+05,8.35e+05
587.19,2.2691e+05,3.9151e+05,587.19,1.8785e+05,4.0059e+05
978.65,1.6055e+05,2.5869e+05,978.65,1.627e+05,2.6205e+05
1370.1,1.4121e+05,2.1605e+05,1370.1,1.394e+05,2.0714e+05
1761.6,1.2139e+05,1.8389e+05,1761.6,1.1745e+05,1.8049e+05
2544.5,1.0213e+05,1.4508e+05,2544.5,1.003e+05,1.4595e+05
3718.9,82831,1.133e+05,3718.9,82120,1.1408e+05
4893.3,70264,99297,4893.3,71255,97403
6459.1,58639,82657,6459.1,60054,84301
8024.9,51568,74303,8024.9,53786,76670
9982.3,47550,65990,9982.3,45969,66159
11940,40973,60968,11940,40274,61153
14288,36540,54163,14288,35512,55498
17029,31324,50332,17029,31168,49894
19377,28104,46100,19377,28871,46889
121.15,7.7181e+05,1.338e+06,121.15,-2.9985e+05,1.1896e+06
363.45,2.08e+05,5.9249e+05,363.45,2.9721e+05,5.1104e+05
605.75,1.6263e+05,3.7328e+05,605.75,2.35e+05,3.7215e+05
848.05,1.7456e+05,2.8641e+05,848.05,2.162e+05,2.7094e+05
1090.4,1.5353e+05,2.556e+05,1090.4,1.4953e+05,2.3608e+05
1575,1.2886e+05,1.8439e+05,1575,1.2005e+05,1.8025e+05
2301.9,1.0409e+05,1.5564e+05,2301.9,1.0894e+05,1.4463e+05
3028.8,83246,1.2475e+05,3028.8,93921,1.2341e+05
3998,79351,1.0861e+05,3998,77640,1.0696e+05
4967.2,65700,94742,4967.2,70526,98347
6178.7,59551,83711,6178.7,61989,82449
7390.2,54741,76525,7390.2,54371,77011
8844,49012,68385,8844,49732,69486
10540,44667,63375,10540,44927,61748
11994,40413,58586,11994,40806,59016
74.988,5.5505e+05,2.0048e+06,74.988,1.5656e+06,1.3686e+06
224.96,3.788e+05,8.1147e+05,224.96,4.094e+05,7.6952e+05
374.94,1.9925e+05,5.403e+05,374.94,2.4008e+05,5.4543e+05
524.92,1.9219e+05,4.4449e+05,524.92,2.3439e+05,4.0779e+05
674.89,1.7738e+05,3.6209e+05,674.89,2.0513e+05,3.5574e+05
974.85,1.7187e+05,2.7178e+05,974.85,1.6117e+05,2.6961e+05
1424.8,1.3454e+05,2.1358e+05,1424.8,1.3062e+05,2.0864e+05
1874.7,1.1324e+05,1.7242e+05,1874.7,1.2035e+05,1.7517e+05
2474.6,1.0218e+05,1.4312e+05,2474.6,1.033e+05,1.4625e+05
3074.5,87756,1.2613e+05,3074.5,92140,1.3071e+05
3824.4,78606,1.1349e+05,3824.4,84642,1.1415e+05
4574.3,72315,99784,4574.3,74986,1.0423e+05
5474.1,65481,90946,5474.1,66278,94392
6524,58933,85666,6524,59470,85144
7423.8,53777,76888,7423.8,54798,79554
46.415,2.4647e+06,2.0342e+06,46.415,-3.6107e+06,2.7255e+06
139.25,5.3602e+05,1.3706e+06,139.25,5.9667e+05,1.1458e+06
232.08,2.1635e+05,8.0481e+05,232.08,1.9129e+05,7.9169e+05
324.91,2.5592e+05,6.5877e+05,324.91,2.2307e+05,5.7538e+05
417.74,1.9999e+05,4.2429e+05,417.74,2.6418e+05,4.6597e+05
603.4,2.1692e+05,4.3535e+05,603.4,2.1978e+05,3.5985e+05
881.89,1.6344e+05,2.82e+05,881.89,1.6157e+05,2.8586e+05
1160.4,1.5238e+05,2.4515e+05,1160.4,1.429e+05,2.3147e+05
1531.7,1.2271e+05,2.0533e+05,1531.7,1.2572e+05,1.9573e+05
1903,1.1353e+05,1.7693e+05,1903,1.1036e+05,1.8374e+05
2367.2,1.0458e+05,1.5167e+05,2367.2,98963,1.5561e+05
2831.3,95282,1.3703e+05,2831.3,96380,1.3961e+05
3388.3,86285,1.2448e+05,3388.3,90393,1.222e+05
4038.1,80349,1.1347e+05,4038.1,80220,1.0785e+05
4595.1,73190,1.0496e+05,4595.1,70315,99939
28.729,1.6509e+06,-6.0047e+05,28.729,-2.3226e+06,-2.6472e+06
86.188,4.0564e+05,2.1634e+06,86.188,2.1565e+05,1.6317e+06
143.65,3.4369e+05,1.2889e+06,143.65,4.6611e+05,1.2125e+06
201.11,4.4557e+05,8.222e+05,201.11,3.4898e+05,6.9367e+05
258.56,2.7388e+05,7.4951e+05,258.56,1.8329e+05,6.8323e+05
373.48,2.6734e+05,5.4583e+05,373.48,2.6359e+05,5.6036e+05
545.86,2.0111e+05,4.0791e+05,545.86,1.9408e+05,3.846e+05
718.24,1.8218e+05,3.2884e+05,718.24,1.899e+05,3.3271e+05
948.07,1.6082e+05,2.7633e+05,948.07,1.5717e+05,2.7151e+05
1177.9,1.4096e+05,2.2936e+05,1177.9,1.4869e+05,2.2616e+05
1465.2,1.269e+05,2.0259e+05,1465.2,1.3252e+05,1.9955e+05
1752.5,1.1879e+05,1.7911e+05,1752.5,1.2295e+05,1.7341e+05
2097.2,1.0794e+05,1.5593e+05,2097.2,1.1362e+05,1.5476e+05
