blue_freq_rep_1,blue_real_rep_1,blue_imaginary_rep_1,blue_freq_rep_2,blue_real_rep_2,blue_imaginary_rep_2
34.064,1.4872e+05,1.1074e+05,34.064,1.4872e+05,1.1074e+05
47.69,1.3633e+05,97842,47.69,1.3633e+05,97842
61.316,1.6376e+05,71868,61.316,1.6376e+05,71868
88.567,1.1015e+05,72189,88.567,1.1015e+05,72189
129.44,97707,59656,129.44,97707,59656
170.32,88343,54073,170.32,88343,54073
224.82,80224,49416,224.82,80224,49416
279.33,72812,44163,279.33,72812,44163
347.46,69369,40423,347.46,69369,40423
415.58,65545,37868,415.58,65545,37868
497.34,62140,35401,497.34,62140,35401
592.72,58833,32378,592.72,58833,32378
674.47,56748,31085,674.47,56748,31085
4.2169,3.0145e+05,3.7692e+05,4.2169,3.0145e+05,3.7692e+05
12.651,2.068e+05,1.7164e+05,12.651,2.068e+05,1.7164e+05
21.085,1.6867e+05,1.3301e+05,21.085,1.6867e+05,1.3301e+05
29.518,1.6412e+05,1.2005e+05,29.518,1.6412e+05,1.2005e+05
37.952,1.4468e+05,1.0378e+05,37.952,1.4468e+05,1.0378e+05
54.82,1.3493e+05,84356,54.82,1.3493e+05,84356
80.121,1.1334e+05,75743,80.121,1.1334e+05,75743
105.42,1.0296e+05,67465,105.42,1.0296e+05,67465
139.16,93404,58882,139.16,93404,58882
172.89,87272,54250,172.89,87272,54250
215.06,79156,48243,215.06,79156,48243
257.23,75497,45731,257.23,75497,45731
307.83,72704,42452,307.83,72704,42452
366.87,67767,39557,366.87,67767,39557
417.47,65171,37956,417.47,65171,37956
2.6101,3.4239e+05,5.8295e+05,2.6101,3.4239e+05,5.8295e+05
7.8304,2.4591e+05,2.4104e+05,7.8304,2.4591e+05,2.4104e+05
13.051,1.9379e+05,1.7818e+05,13.051,1.9379e+05,1.7818e+05
18.271,1.759e+05,1.4161e+05,18.271,1.759e+05,1.4161e+05
23.491,1.614e+05,1.2383e+05,23.491,1.614e+05,1.2383e+05
33.932,1.4706e+05,1.059e+05,33.932,1.4706e+05,1.059e+05
49.593,1.3006e+05,88484,49.593,1.3006e+05,88484
65.254,1.1828e+05,78420,65.254,1.1828e+05,78420
86.135,1.0659e+05,69213,86.135,1.0659e+05,69213
107.02,1.0056e+05,64548,107.02,1.0056e+05,64548
133.12,93664,57969,133.12,93664,57969
159.22,87824,54551,159.22,87824,54551
190.54,82492,50582,190.54,82492,50582
227.08,78286,47303,227.08,78286,47303
258.4,74466,44431,258.4,74466,44431
1.6156,3.2846e+05,4.2824e+05,1.6156,3.2846e+05,4.2824e+05
4.8469,1.8734e+05,4.0758e+05,4.8469,1.8734e+05,4.0758e+05
8.0782,2.0172e+05,2.0633e+05,8.0782,2.0172e+05,2.0633e+05
11.309,2.2107e+05,1.8873e+05,11.309,2.2107e+05,1.8873e+05
14.541,2.0296e+05,1.8842e+05,14.541,2.0296e+05,1.8842e+05
21.003,1.7843e+05,1.5109e+05,21.003,1.7843e+05,1.5109e+05
30.697,1.4552e+05,1.1449e+05,30.697,1.4552e+05,1.1449e+05
40.391,1.42e+05,96045,40.391,1.42e+05,96045
53.316,1.2481e+05,87476,53.316,1.2481e+05,87476
66.241,1.1992e+05,81574,66.241,1.1992e+05,81574
82.398,1.1223e+05,71983,82.398,1.1223e+05,71983
98.554,1.0337e+05,68893,98.554,1.0337e+05,68893
117.94,1.0047e+05,60157,117.94,1.0047e+05,60157
140.56,92356,58742,140.56,92356,58742
159.95,90538,55531,159.95,90538,55531
1,2.1323e+06,1.4175e+06,1,2.1323e+06,1.4175e+06
3,7.4811e+05,6.6846e+05,3,7.4811e+05,6.6846e+05
5,5.6322e+05,7.2187e+05,5,5.6322e+05,7.2187e+05
7.0001,4.4075e+05,4.4612e+05,7.0001,4.4075e+05,4.4612e+05
9.0001,5.0655e+05,4.864e+05,9.0001,5.0655e+05,4.864e+05
13,3.672e+05,3.4215e+05,13,3.672e+05,3.4215e+05
19,3.709e+05,2.7937e+05,19,3.709e+05,2.7937e+05
25,3.0483e+05,2.5897e+05,25,3.0483e+05,2.5897e+05
33,3.0299e+05,2.0616e+05,33,3.0299e+05,2.0616e+05
41,2.4458e+05,1.9733e+05,41,2.4458e+05,1.9733e+05
51,2.5339e+05,1.5868e+05,51,2.5339e+05,1.5868e+05
61,2.3048e+05,1.6635e+05,61,2.3048e+05,1.6635e+05
73.001,2.3183e+05,1.5425e+05,73.001,2.3183e+05,1.5425e+05
87.001,2.1555e+05,1.2961e+05,87.001,2.1555e+05,1.2961e+05
99.001,2.0513e+05,1.3111e+05,99.001,2.0513e+05,1.3111e+05
