blue_freq_rep_1,blue_real_rep_1,blue_imaginary_rep_1,blue_freq_rep_2,blue_real_rep_2,blue_imaginary_rep_2
2213.6,1.5744e+05,1.3788e+05,2213.6,1.5605e+05,1.3417e+05
2846,1.4415e+05,1.2319e+05,2846,1.4463e+05,1.2142e+05
215.44,4.7696e+05,4.9543e+05,215.44,4.6685e+05,4.6466e+05
646.31,2.3531e+05,2.3162e+05,646.31,2.4041e+05,2.4994e+05
1077.2,2.2124e+05,1.9995e+05,1077.2,2.0946e+05,1.779e+05
1508.1,1.9251e+05,1.6524e+05,1508.1,1.8004e+05,1.5562e+05
1938.9,1.6633e+05,1.3349e+05,1938.9,1.6569e+05,1.368e+05
2800.7,1.3635e+05,1.2186e+05,2800.7,1.4305e+05,1.1902e+05
4093.3,1.182e+05,1.1066e+05,4093.3,1.2166e+05,1.0728e+05
5385.9,1.037e+05,1.063e+05,5385.9,1.0657e+05,99463
7109.4,85767,95167,7109.4,88012,98293
8832.9,74566,88666,8832.9,75672,90794
10987,61320,82101,10987,61961,83705
13142,53212,76117,13142,55109,78351
15727,42769,70565,15727,43744,72965
18743,36451,66110,18743,36671,65883
21328,30682,60261,21328,32577,61566
146.78,4.8616e+05,5.2408e+05,146.78,5.223e+05,5.0219e+05
440.34,3.2344e+05,3.1093e+05,440.34,3.0074e+05,3.0608e+05
733.9,2.5237e+05,2.3423e+05,733.9,2.3821e+05,2.2532e+05
1027.5,2.083e+05,1.829e+05,1027.5,2.1666e+05,1.8545e+05
1321,1.9579e+05,1.6963e+05,1321,2.0066e+05,1.6259e+05
1908.1,1.6964e+05,1.3945e+05,1908.1,1.6647e+05,1.303e+05
2788.8,1.4193e+05,1.2507e+05,2788.8,1.4304e+05,1.2118e+05
3669.5,1.2468e+05,1.1405e+05,3669.5,1.2866e+05,1.1499e+05
4843.7,1.0757e+05,1.0455e+05,4843.7,1.1129e+05,1.0466e+05
6018,96726,1.0018e+05,6018,98911,1.0084e+05
7485.8,83595,91778,7485.8,84129,94160
8953.6,73691,89027,8953.6,75570,89204
10715,63212,83483,10715,64286,85035
12770,54221,77578,12770,55529,78826
14531,47359,73583,14531,48430,74948
100,6.0128e+05,7.0323e+05,100,5.7032e+05,6.894e+05
300,3.811e+05,3.8678e+05,300,3.4329e+05,3.7592e+05
500,2.803e+05,3.0005e+05,500,2.829e+05,2.9517e+05
700,2.3407e+05,2.4335e+05,700,2.315e+05,2.3944e+05
900,2.208e+05,2.1559e+05,900,2.1893e+05,2.1113e+05
1300,1.9399e+05,1.7835e+05,1300,1.9597e+05,1.7278e+05
1900,1.6897e+05,1.5027e+05,1900,1.6898e+05,1.4576e+05
2500,1.516e+05,1.2892e+05,2500,1.5245e+05,1.2934e+05
3300,1.3244e+05,1.1946e+05,3300,1.3524e+05,1.1818e+05
4100,1.2057e+05,1.1183e+05,4100,1.2249e+05,1.116e+05
5100,1.0814e+05,1.0608e+05,5100,1.1075e+05,1.0613e+05
6100,97199,99798,6100,1.0004e+05,99739
7300,87055,92955,7300,88509,93778
8700,75856,91688,8700,77026,92310
9900,67822,86512,9900,69441,87035
68.128,6.9427e+05,8.9753e+05,68.128,8.0568e+05,1.0172e+06
204.38,4.1669e+05,4.255e+05,204.38,4.0279e+05,4.611e+05
340.64,3.4155e+05,3.4633e+05,340.64,3.2487e+05,3.3482e+05
476.9,2.9315e+05,2.8356e+05,476.9,2.9793e+05,2.6978e+05
613.15,2.6189e+05,2.5348e+05,613.15,2.4214e+05,2.3681e+05
885.67,2.1537e+05,2.0934e+05,885.67,2.0923e+05,1.9123e+05
1294.4,1.8862e+05,1.7304e+05,1294.4,1.872e+05,1.6577e+05
1703.2,1.6787e+05,1.4784e+05,1703.2,1.6129e+05,1.4302e+05
2248.2,1.5343e+05,1.3447e+05,2248.2,1.5621e+05,1.3104e+05
2793.3,1.4192e+05,1.2429e+05,2793.3,1.4123e+05,1.1897e+05
3474.5,1.2996e+05,1.1559e+05,3474.5,1.3121e+05,1.1182e+05
4155.8,1.1847e+05,1.0997e+05,4155.8,1.1937e+05,1.0715e+05
4973.4,1.0789e+05,1.02e+05,4973.4,1.1057e+05,99790
5927.1,98559,98196,5927.1,1.0044e+05,99316
6744.7,91498,95831,6744.7,91736,94805
46.415,8.5543e+05,1.128e+06,46.415,9.0569e+05,1.1016e+06
139.25,5.2712e+05,5.9957e+05,139.25,5.3138e+05,5.8027e+05
232.08,4.1093e+05,4.6669e+05,232.08,3.9806e+05,4.5041e+05
324.91,3.415e+05,3.9864e+05,324.91,3.2515e+05,3.7766e+05
417.74,3.3228e+05,3.4081e+05,417.74,3.0982e+05,3.3401e+05
603.4,2.7406e+05,2.7429e+05,603.4,2.6723e+05,2.614e+05
881.89,2.3561e+05,2.2033e+05,881.89,2.3524e+05,2.1357e+05
1160.4,2.1144e+05,1.8764e+05,1160.4,2.1805e+05,1.8225e+05
1531.7,1.8535e+05,1.6233e+05,1531.7,1.8698e+05,1.5702e+05
1903,1.728e+05,1.4986e+05,1903,1.7573e+05,1.4946e+05
2367.2,1.5665e+05,1.3958e+05,2367.2,1.5987e+05,1.3625e+05
2831.3,1.4759e+05,1.2748e+05,2831.3,1.5109e+05,1.2752e+05
3388.3,1.3379e+05,1.2406e+05,3388.3,1.3649e+05,1.2098e+05
4038.1,1.2344e+05,1.156e+05,4038.1,1.2649e+05,1.1493e+05
4595.1,1.1752e+05,1.1146e+05,4595.1,1.1895e+05,1.1325e+05
31.623,1.3672e+06,1.4793e+06,31.623,8.66e+05,1.6881e+06
94.869,6.0682e+05,7.5864e+05,94.869,5.8379e+05,7.8587e+05
158.12,4.5288e+05,5.2543e+05,158.12,4.4379e+05,5.0136e+05
221.36,4.1752e+05,4.3485e+05,221.36,4.1305e+05,4.0986e+05
284.61,3.6969e+05,3.7605e+05,284.61,3.4033e+05,3.6172e+05
411.1,3.0619e+05,3.0294e+05,411.1,2.9763e+05,2.8112e+05
600.84,2.5313e+05,2.5753e+05,600.84,2.5068e+05,2.4328e+05
790.58,2.2357e+05,2.1695e+05,790.58,2.2063e+05,2.1005e+05
1043.6,2.0268e+05,1.862e+05,1043.6,2.0313e+05,1.8012e+05
1296.5,1.8682e+05,1.6753e+05,1296.5,1.8652e+05,1.5912e+05
1612.8,1.7289e+05,1.4906e+05,1612.8,1.7531e+05,1.4407e+05
1929,1.6214e+05,1.387e+05,1929,1.6227e+05,1.3512e+05
2308.5,1.5157e+05,1.2941e+05,2308.5,1.5396e+05,1.2381e+05
2751.2,1.4204e+05,1.2267e+05,2751.2,1.4333e+05,1.1713e+05
3130.7,1.3155e+05,1.1648e+05,3130.7,1.3669e+05,1.1395e+05
21.543,1.384e+06,2.4867e+06,21.543,1.6163e+06,1.958e+06
64.63,7.6004e+05,9.6614e+05,64.63,8.0739e+05,1.0335e+06
107.72,5.5695e+05,6.8707e+05,107.72,5.2865e+05,7.0122e+05
150.8,4.9275e+05,5.54e+05,150.8,4.729e+05,5.491e+05
193.89,4.2927e+05,4.6717e+05,193.89,4.3316e+05,4.7329e+05
280.06,3.7215e+05,3.9359e+05,280.06,3.5168e+05,3.5986e+05
409.32,3.0901e+05,3.1587e+05,409.32,2.9984e+05,3.059e+05
538.58,2.7139e+05,2.7306e+05,538.58,2.7118e+05,2.6386e+05
710.93,2.4141e+05,2.3544e+05,710.93,2.4522e+05,2.2483e+05
883.28,2.2189e+05,2.1191e+05,883.28,2.1734e+05,2.0219e+05
1098.7,2.018e+05,1.8536e+05,1098.7,2.0221e+05,1.7629e+05
1314.1,1.8764e+05,1.685e+05,1314.1,1.9142e+05,1.6404e+05
1572.7,1.758e+05,1.5568e+05,1572.7,1.7588e+05,1.5234e+05
1874.3,1.6513e+05,1.4303e+05,1874.3,1.6648e+05,1.3762e+05
2132.8,1.4898e+05,1.371e+05,2132.8,1.5881e+05,1.3189e+05
14.678,2.6259e+06,1.5904e+06,14.678,2.5425e+06,2.5435e+06
44.033,1.0508e+06,1.1781e+06,44.033,9.1285e+05,1.0829e+06
73.388,6.3361e+05,8.6564e+05,73.388,6.9847e+05,9.0475e+05
102.74,5.7491e+05,7.2789e+05,102.74,5.6386e+05,7.2224e+05
132.1,5.1961e+05,6.1376e+05,132.1,4.84e+05,6.068e+05
190.81,4.3596e+05,4.6553e+05,190.81,4.2532e+05,4.797e+05
278.88,3.5221e+05,3.8474e+05,278.88,3.5703e+05,3.7614e+05
366.94,3.3328e+05,3.3104e+05,366.94,3.1934e+05,3.2241e+05
484.36,2.9428e+05,2.8281e+05,484.36,2.8601e+05,2.7066e+05
601.78,2.6064e+05,2.5998e+05,601.78,2.5713e+05,2.454e+05
748.56,2.3815e+05,2.2996e+05,748.56,2.3134e+05,2.1687e+05
895.34,2.1868e+05,2.0876e+05,895.34,2.211e+05,1.9997e+05
1071.5,2.0644e+05,1.8758e+05,1071.5,2.0349e+05,1.8084e+05
1277,1.8974e+05,1.6974e+05,1277,1.8862e+05,1.6719e+05
1453.1,1.8151e+05,1.6242e+05,1453.1,1.828e+05,1.5675e+05
9.9998,2.5166e+06,3.4444e+06,9.9998,3.3445e+06,1.4417e+06
30,1.0645e+06,1.2366e+06,30,1.1261e+06,1.4514e+06
49.999,8.3394e+05,1.2339e+06,49.999,8.265e+05,1.2187e+06
69.999,7.3778e+05,8.7661e+05,69.999,7.1702e+05,9.2161e+05
89.999,5.9417e+05,7.5974e+05,89.999,6.4823e+05,7.3338e+05
130,4.9734e+05,5.7963e+05,130,4.8846e+05,6.0019e+05
190,4.3964e+05,4.6159e+05,190,4.2993e+05,4.7118e+05
250,3.947e+05,3.999e+05,250,3.6866e+05,3.8766e+05
329.99,3.5146e+05,3.508e+05,329.99,3.3815e+05,3.4708e+05
409.99,3.0786e+05,3.0954e+05,409.99,3.0498e+05,2.9873e+05
509.99,2.8262e+05,2.8213e+05,509.99,2.7789e+05,2.6827e+05
609.99,2.5963e+05,2.5482e+05,609.99,2.5221e+05,2.4323e+05
729.99,2.3678e+05,2.3139e+05,729.99,2.3406e+05,2.2057e+05
869.99,2.215e+05,2.1092e+05,869.99,2.237e+05,1.9942e+05
989.98,2.1027e+05,1.9429e+05,989.98,2.1001e+05,1.8662e+05
