blue_freq_rep_1,blue_real_rep_1,blue_imaginary_rep_1,blue_freq_rep_2,blue_real_rep_2,blue_imaginary_rep_2
99998,3187.5,18207,99998,3167.9,18330
68129,6165.6,25670,68129,6359.8,25779
46415,10934,35345,46415,10846,35554
31623,18891,46914,31623,18845,47232
21544,31310,59254,21544,30812,60192
14678,46548,73157,14678,47986,74222
10000,67291,85403,10000,67767,86416
6812.8,89571,95618,6812.8,90152,98241
4641.5,1.1289e+05,1.0665e+05,4641.5,1.1313e+05,1.0627e+05
3162.2,1.3502e+05,1.1974e+05,3162.2,1.3753e+05,1.1744e+05
9486.6,70484,89789,9486.6,69937,88656
15811,43943,71462,15811,46072,71652
22135,29727,59402,22135,30383,60290
28460,21088,50942,28460,21969,51022
2154.4,1.5793e+05,1.3548e+05,2154.4,1.5317e+05,1.2853e+05
6463.1,93692,95512,6463.1,95778,98496
10772,63499,82922,10772,63916,85020
15080,45428,71930,15080,47776,72635
19389,35256,63856,19389,35061,65178
1467.8,1.8087e+05,1.6886e+05,1467.8,1.9321e+05,1.6935e+05
4403.4,1.1571e+05,1.1234e+05,4403.4,1.1769e+05,1.0579e+05
7339,88635,92355,7339,87861,94258
10275,68006,84801,10275,66473,85422
13210,52281,76709,13210,54727,76683
999.99,2.0736e+05,1.9666e+05,999.99,2.0842e+05,1.8796e+05
3000,1.3917e+05,1.1822e+05,3000,1.4031e+05,1.177e+05
4999.9,1.0953e+05,1.0529e+05,4999.9,1.0887e+05,1.0633e+05
6999.9,87999,93427,6999.9,89058,94620
8999.9,73392,87676,8999.9,74241,87930
681.28,2.7444e+05,2.5777e+05,681.28,2.5589e+05,2.4996e+05
2043.8,1.6231e+05,1.4207e+05,2043.8,1.5945e+05,1.4661e+05
3406.4,1.3688e+05,1.1254e+05,3406.4,1.3168e+05,1.1629e+05
4769,1.1126e+05,1.0866e+05,4769,1.1185e+05,1.0681e+05
6131.5,97324,99478,6131.5,98434,1.0038e+05
464.16,2.8644e+05,2.7902e+05,464.16,2.9505e+05,2.6128e+05
1392.5,1.8699e+05,1.5965e+05,1392.5,1.8543e+05,1.5522e+05
2320.8,1.5326e+05,1.3368e+05,2320.8,1.5422e+05,1.296e+05
3249.1,1.346e+05,1.1769e+05,3249.1,1.3461e+05,1.1293e+05
4177.4,1.1522e+05,1.0861e+05,4177.4,1.1996e+05,1.0806e+05
316.22,3.8173e+05,3.836e+05,316.22,3.4816e+05,3.7947e+05
948.67,2.1306e+05,2.1273e+05,948.67,2.122e+05,2e+05
1581.1,1.8059e+05,1.5753e+05,1581.1,1.7894e+05,1.4973e+05
